accuracy,precision,recall,f1_score,matthews_corrcoef,cohen_kappa,auc_roc,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives,weighted_cost,model,preprocessing,balance_method,timestamp,train_size,experiment,used_extracted_features
0.969,0.9492753623188406,0.9943074003795066,0.9712696941612604,0.9388374325817609,0.9376498415099197,0.9960103662279206,0.05919661733615222,0.0056925996204933585,890,56,6,1048,0.058,xgboost,phishing_count_vector,undersampling,2025-08-12 14:26:08,30000,Optimización Balanceada,True
0.9705,0.9518619436875567,0.9943074003795066,0.9726218097447796,0.9417286157274429,0.940676449354781,0.9958017579261126,0.056025369978858354,0.0056925996204933585,893,53,6,1048,0.0565,xgboost,basic_phishing,undersampling,2025-08-12 14:33:12,30000,Optimización Balanceada,True
0.968,0.9491833030852994,0.9924098671726755,0.9703153988868275,0.9367372796990963,0.9356455356101406,0.9959236132562552,0.05919661733615222,0.007590132827324478,890,56,8,1046,0.068,xgboost,phishing_trigram,undersampling,2025-08-12 14:43:00,30000,Optimización Balanceada,True
0.979,0.9711359404096834,0.9895635673624289,0.9802631578947368,0.9580246595927325,0.957831494652632,0.9982870049063068,0.03276955602536998,0.010436432637571158,915,31,11,1043,0.0705,xgboost,phishing_char_ngram,undersampling,2025-08-12 14:59:44,30000,Optimización Balanceada,True
0.9675,0.9458972046889089,0.9952561669829222,0.9699491447064262,0.9360488313444264,0.9346151447419511,0.9960690373128042,0.06342494714587738,0.004743833017077799,886,60,5,1049,0.055,xgboost,phishing_count_vector,ninguno,2025-08-12 15:08:56,30000,Optimización Balanceada,True
0.969,0.9492753623188406,0.9943074003795066,0.9712696941612604,0.9388374325817609,0.9376498415099197,0.9959501907562451,0.05919661733615222,0.0056925996204933585,890,56,6,1048,0.058,xgboost,basic_phishing,ninguno,2025-08-12 15:16:29,30000,Optimización Balanceada,True
0.9665,0.94579945799458,0.9933586337760911,0.968995835261453,0.9339385756059023,0.9326106241865499,0.9960875914165708,0.06342494714587738,0.006641366223908918,886,60,7,1047,0.065,xgboost,phishing_trigram,ninguno,2025-08-12 15:27:03,30000,Optimización Balanceada,True
0.9805,0.9712163416898792,0.9924098671726755,0.981698732989207,0.9610935316100585,0.960837160915085,0.9985788559439325,0.03276955602536998,0.007590132827324478,915,31,8,1046,0.0555,xgboost,phishing_char_ngram,ninguno,2025-08-12 15:44:33,30000,Optimización Balanceada,True
0.967,0.945045045045045,0.9952561669829222,0.9695009242144177,0.9350905936880399,0.933605617367161,0.9959231117939913,0.06448202959830866,0.004743833017077799,885,61,5,1049,0.0555,xgboost,phishing_count_vector,smote,2025-08-12 15:54:52,30000,Optimización Balanceada,True
0.9695,0.9517743403093721,0.9924098671726755,0.9716674407803065,0.9396342678496047,0.9386721412672145,0.9959592170769964,0.056025369978858354,0.007590132827324478,893,53,8,1046,0.0665,xgboost,basic_phishing,smote,2025-08-12 16:03:12,30000,Optimización Balanceada,True
0.967,0.947463768115942,0.9924098671726755,0.969416126042632,0.9348097468532123,0.933627250639592,0.9960008384449053,0.0613107822410148,0.007590132827324478,888,58,8,1046,0.069,xgboost,phishing_trigram,smote,2025-08-12 16:14:38,30000,Optimización Balanceada,True
0.98,0.9703153988868275,0.9924098671726755,0.9812382739212008,0.960109703596136,0.9598308073606029,0.9984835781137797,0.03382663847780127,0.007590132827324478,914,32,8,1046,0.056,xgboost,phishing_char_ngram,smote,2025-08-12 16:33:47,30000,Optimización Balanceada,True
